SubmissionID,StudentID,Problem,Status,Score,CodeLength,SubmissionTime
43290,115,2,Wrong Answer,0,1041,11:08:57
43289,103,4,Accepted,30,1427,11:08:26
43288,29,2,Wrong Answer,22,1672,11:08:23
43287,59,4,Runtime Error,0,786,11:08:21
43286,98,4,Wrong Answer,14,815,11:08:04
43285,110,3,Accepted,30,575,11:07:51
43284,59,4,Wrong Answer,30,841,11:07:34
43283,81,4,Wrong Answer,0,1504,11:07:33
43282,55,4,Wrong Answer,14,1386,11:07:15
43281,86,3,Wrong Answer,0,488,11:07:05
43280,11,1,Accepted,30,393,11:06:59
43279,39,4,Wrong Answer,28,1761,11:06:52
43278,10,4,Wrong Answer,28,1245,11:06:45
43277,91,4,Wrong Answer,28,648,11:06:41
43276,81,4,Wrong Answer,0,1511,11:06:40
43275,12,1,Accepted,30,359,11:06:32
43274,55,4,Wrong Answer,0,1386,11:06:31
43273,59,4,Wrong Answer,30,857,11:06:22
43272,12,1,Wrong Answer,0,360,11:06:07
43271,81,4,Wrong Answer,0,1511,11:05:59
43270,70,1,Accepted,30,382,11:05:41
43269,67,3,Wrong Answer,26,504,11:05:40
43268,82,4,Runtime Error,0,1404,11:05:40
43267,98,4,Wrong Answer,14,844,11:05:35
43266,46,4,Runtime Error,12,2023,11:05:32
43265,59,4,Wrong Answer,30,856,11:05:15
43264,84,4,Wrong Answer,30,1486,11:05:10
43263,67,3,Wrong Answer,26,504,11:04:57
43262,82,4,Runtime Error,0,1400,11:04:56
43261,103,4,Wrong Answer,16,1372,11:04:31
43260,84,4,Wrong Answer,30,1486,11:04:31
43259,12,4,Accepted,30,1135,11:04:24
43258,12,4,Wrong Answer,30,1136,11:03:34
43257,41,1,Accepted,30,412,11:03:30
43256,50,3,Accepted,30,240,11:02:47
43255,84,4,Wrong Answer,16,1514,11:02:09
43254,12,4,Wrong Answer,22,1291,11:02:04
43253,62,4,Accepted,30,1068,11:02:00
43252,77,4,Runtime Error,8,1844,11:01:41
43251,79,3,Accepted,30,266,11:01:30
43250,102,4,Accepted,30,807,11:01:30
43249,100,2,Wrong Answer,0,277,11:01:18
43248,103,4,Wrong Answer,16,1377,11:00:55
